Name,Age,City,Grade,Gender,Note
Sagar,21.0,mumbai,A,male,good student
Arjun,20.0,bengaluru,A,female,needs help
Yash,22.0,Dehli,A,male,excelelnt
Neha,20.0,pune,B,male,average
Yash,19.0,PNE,B,female,late submitter
Yash,20.0,mumbai,A,female,excellent
Ishita,24.0,bengaluru,A,male,needs help
Sagar,22.0,hyderabad,B,male,late submitter
Sagar,19.0,DELHI,A,female,late submitter
Sagar,21.0,DELHI,B,male,good student
Ananya,19.0,uPne,A,male,late submitter
Arjun,19.0,bengaluru,A,female,excellent
Pooja,20.0,mumbai,None,male,needsh elp
Aditi,16.0,BENGALUU,A,female,excellent
Kiran,20.0,hyderabad,C,female,needs help
Pooja,19.0,pune,A,male,good student
Raj,17.0,pune,A,female,excellent
Ishita,21.0,EBNGALURU,B,male,late submitter
Arjun,20.0,mumbai,None,male,good student
Neha,16.0,bengaluru,B,male,average
Aditi,24.0,MUBMAI,A,male,needs help
Arjun,19.0,Dehi,B,male,good student
Ishita,20.0,bengaluru,A,female,goods tudent
Mohit,20.0,Mumabi,A,male,needs help
Yash,19.0,bengaluru,None,male,needs help
Yash,20.0,Begaluru,C,male,average
Kiran,17.0,pune,None,male,average
Raj,21.0,pune,A,female,late submitter
Mohit,18.0,mumbai,C,female,excellent
Arjun,19.0,mumbai,A,male,average
Sagar,18.0,mumbai,B,female,excellent
Riya,25.0,bengaluru,B,female,needs help
Ishita,20.0,pune,B,female,good studnt
Aditi,17.0,hyderabad,A,male,good student
Raj,22.0,pune,B,male,late submitter
Neha,17.0,DELHI,C,female,excellent
Raj,21.0,DELHI,B,male,late sbumitter
Ishita,20.0,pune,B,male,late submitter
Mohit,20.0,bengaluru,A,female,late submitter
Pooja,20.0,pune,A,male,late submitter
Kiran,20.0,EBNGALURU,B,male,excellent
Kiran,20.0,Dlhi,B,male,needs help
Neha,20.0,pune,None,female,late submitter
Ishita,19.0,mumbai,B,female,good student
Sagar,16.0,pune,A,male,verage
Kiran,18.0,hyderabad,A,female,average
Arjun,19.0,hyderabad,A,female,excellent
Sagar,23.0,hyderabad,A,female,average
Arjun,21.0,pune,A,female,average
Ishita,16.0,pune,A,female,average
Aditi,21.0,pune,A,female,late submitter
Aditi,19.0,pune,A,male,needs help
Pooja,18.0,mumbai,C,female,good student
Aditi,20.0,bengaluru,B,male,late submitter
Raj,23.0,bengaluru,A,male,needs help
Ananya,22.0,Mumbia,None,male,excellent
Sagar,18.0,bengaluru,B,female,needs help
Neha,19.0,bengaluru,C,female,good student
Kiran,20.0,DELHI,B,male,average
Riya,22.0,hyderabad,B,female,excellent
Sagar,19.0,mumbai,C,male,averag
Arjun,20.0,Mumabi,B,male,average
Ishita,17.0,yHderabad,A,male,good student
Aditi,17.0,pune,A,female,excellent
Neha,20.0,bengaluru,None,female,good student
Ananya,23.0,bengaluru,B,female,excellent
Raj,20.0,Pun,B,male,late submitter
Yash,23.0,mumbai,C,female,good student
Ananya,21.0,DELHI,None,female,excellent
Mohit,18.0,bengaluru,A,female,good student
Ishita,20.0,DELHI,C,male,needs help
Aditi,24.0,bengaluru,C,female,excellent
Sagar,20.0,bengaluru,A,female,average
Kiran,24.0,hyderabad,A,male,averag
Ishita,16.0,mumbai,C,male,needs help
Sagar,22.0,pune,B,female,average
Kiran,20.0,pune,A,female,excellent
Ananya,19.0,DELHI,None,female,avreage
Arjun,20.0,mumbai,A,female,good student
Arjun,16.0,DELHI,None,female,good student
Ananya,19.0,hyderabad,A,female,excellent
Pooja,21.0,bengaluru,None,male,average
Sagar,24.0,DELHI,A,male,late submitter
Mohit,20.0,Dlhi,A,male,lae submitter
Riya,18.0,Benagluru,A,male,excellent
Ishita,19.0,Mumbi,A,female,good student
Kiran,22.0,HYEDRABAD,B,female,average
Neha,21.0,hyderabad,A,male,excellent
Pooja,20.0,hyderabad,A,female,good student
Ishita,21.0,DELHI,B,female,excellent
Ishita,20.0,mumbai,C,female,late submitter
Ananya,22.0,bengaluru,A,male,avreage
Yash,18.0,DELHI,A,male,excellent
Yash,19.0,pune,A,male,good student
Sagar,19.0,hyderabad,A,male,excellent
Ananya,16.0,Mmbai,None,female,excellent
Kiran,21.0,bengaluru,B,male,good student
Neha,21.0,Hyderbaad,B,female,good student
Aditi,20.0,pune,None,male,late submitter
Arjun,19.0,bengaluru,A,male,needs help
Riya,16.0,mumbai,A,female,late submitter
Sagar,20.0,DELHI,A,female,excellent
Aditi,19.0,mumbai,B,male,needs help
Pooja,20.0,bengaluru,None,male,needs help
Pooja,20.0,bengaluru,B,female,averaeg
Kiran,21.0,DELHI,A,male,ecellent
Ananya,25.0,bengaluru,A,male,aevrage
Yash,20.0,hyderabad,A,male,laet submitter
Riya,21.0,bengaluru,B,male,excellent
Raj,20.0,Delh,C,female,late submitter
Riya,20.0,pune,B,male,good student
Riya,20.0,Deli,A,male,average
Aditi,20.0,DELHI,None,male,excellent
Riya,20.0,hyderabad,None,female,averaeg
Neha,20.0,hyderabad,A,male,good student
Raj,21.0,bengaluru,None,male,excellent
Ananya,20.0,mumbai,A,female,average
Riya,17.0,hyderabd,C,male,average
Arjun,23.0,hyderabad,C,male,good student
Kiran,22.0,hyderabad,B,female,average
